LDist,Dist,LorR,Type,DistanceError
91.05,0.2,Left,Large Lithic,0.04000000000000001
40.35,0.15,Right,Ground Stone Tool,0.03
12.4,0.35,Right,Small Potsherd,0.06999999999999999
18,0.3,Right,Small Potsherd,0.06
28.75,0.8,Left,Large Potsherd,0.16000000000000003
9.95,0.05,Right,Small Potsherd,0.010000000000000002
42.35,0.45,Right,Large Potsherd,0.09000000000000001
91.25,0.1,Right,Ground Stone Tool,0.020000000000000004
63.15,0.4,Left,Glass,0.08000000000000002
56.5,0.6,Left,Small Potsherd,0.12
38.85,0.25,Right,Glass,0.05
8.15,1,Right,Small Lithic,0.2
33.5,2,Left,Small Potsherd,0.30000000000000004
17.15,1.6,Left,Large Potsherd,0.26
16.9,1.15,Left,Ground Stone Tool,0.215
14,1.95,Left,Small Potsherd,0.29500000000000004
30.05,1.8,Right,Large Potsherd,0.28
4.9,2.1,Left,Small Potsherd,0.305
4.45,2.65,Right,Glass,0.33249999999999996
13.55,2.45,Right,Small Potsherd,0.3225
22.05,2.9,Right,Small Potsherd,0.345
5.4,2.85,Right,Small Potsherd,0.34249999999999997
52.5,3.7,Left,Large Lithic,0.385
77.85,3.75,Right,Large Lithic,0.3875
10.5,4,Right,Large Potsherd,0.39999999999999997
1.5,3.25,Right,Large Lithic,0.3625
11.4,5,Right,Small Potsherd,0.44999999999999996
51.65,4.35,Left,Large Potsherd,0.4175
33.85,5.15,Left,Small Potsherd,0.765
3.25,6.6,Right,Large Lithic,0.9099999999999999
18.05,3.85,Right,Large Potsherd,0.39249999999999996
22.65,7.5,Left,Small Lithic,1
27.4,6.9,Left,Large Lithic,0.9400000000000001
35.8,8.8,Left,Large Lithic,1.2600000000000002
55.65,9.15,Left,Small Potsherd,1.33
52.8,3.7,Left,Glass,0.385
43.55,0.85,Left,Glass,0.16999999999999998
99.7,2.6,Right,Large Potsherd,0.33
56,0.7,Right,Small Potsherd,0.14
22.85,5.55,Left,Glass,0.8049999999999999
19.9,3.5,Left,Ground Stone Tool,0.375
15.55,0.8,Left,Glass,0.16000000000000003
34.3,5.7,Left,Large Potsherd,0.8200000000000001
10.2,0.15,Right,Glass,0.03
53.75,4.95,Right,Small Potsherd,0.4475
43.15,2.8,Right,Glass,0.33999999999999997
8.2,5.05,Left,Ground Stone Tool,0.755
44.65,8.3,Left,Glass,1.1600000000000001
74.3,6.2,Right,Small Potsherd,0.87
36,7.9,Right,Ground Stone Tool,1.08
